"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z210","2020-04-02 00:00:00","126.000","6.000","1.300","16.400","0.990","1007.500","","1.500","-99.000","-99.000","-99.000","21.900","","16.400",""
"C0U770","2020-04-02 00:00:00","5.000","314.000","2.800","17.900","0.810","1020.400","","0.000","-99.000","-99.000","-99.000","23.000","","17.700",""
"C0Z080","2020-04-02 00:00:00","298.000","0.000","0.000","16.000","0.990","986.200","","4.500","-99.000","-99.000","-99.000","21.500","","16.000",""
"C0G640","2020-04-02 00:00:00","17.000","22.000","2.200","17.500","0.760","1017.800","","0.000","-99.000","-99.000","-99.000","23.400","","17.500",""
"C0X200","2020-04-02 00:00:00","61.000","254.000","0.700","18.900","0.840","1009.300","","0.000","-99.000","-99.000","-99.000","26.900","","18.900",""
"C0U900","2020-04-02 00:00:00","63.000","139.000","1.700","16.300","0.950","1015.100","","0.000","-99.000","-99.000","-99.000","20.900","","15.900",""
"C0Z230","2020-04-02 00:00:00","31.000","289.000","2.400","17.900","0.780","1018.100","","0.000","-99.000","-99.000","-99.000","22.900","","17.900",""
"C0F9O0","2020-04-02 00:00:00","175.000","0.000","0.200","17.600","1.000","996.400","","0.000","-99.000","-99.000","-99.000","24.700","","17.600",""
"C0C540","2020-04-02 00:00:00","46.000","62.000","2.500","16.600","0.740","1014.000","","8.500","-99.000","-99.000","-99.000","19.400","","15.900",""
"C0G770","2020-04-02 00:00:00","15.000","27.000","1.200","18.600","0.720","1015.400","","0.000","-99.000","-99.000","-99.000","24.000","","18.500",""
"C0V670","2020-04-02 00:00:00","20.000","5.000","2.000","21.800","0.710","1014.000","","0.000","-99.000","-99.000","-99.000","28.100","","21.800",""
"C0A870","2020-04-02 00:00:00","685.000","67.000","6.700","11.100","1.000","939.300","","3.000","-99.000","-99.000","-99.000","17.600","","10.300",""
"C0R220","2020-04-02 00:00:00","23.000","264.000","1.000","23.600","1.000","1013.900","","0.000","-99.000","-99.000","-99.000","30.000","","23.600",""
"C0Z220","2020-04-02 00:00:00","589.000","263.000","0.300","13.500","1.000","954.300","","1.000","-99.000","-99.000","-99.000","20.800","","13.400",""
"C0D560","2020-04-02 00:00:00","147.000","40.000","1.600","16.000","0.780","1001.800","","12.500","-99.000","-99.000","-99.000","18.900","","15.500",""
"C0I380","2020-04-02 00:00:00","258.000","0.000","0.000","19.000","0.830","986.100","","2.000","-99.000","-99.000","-99.000","27.900","","18.500",""
"C0Z020","2020-04-02 00:00:00","211.000","45.000","3.700","16.300","0.990","995.100","","1.000","-99.000","-99.000","-99.000","22.500","","16.300",""
"C0E780","2020-04-02 00:00:00","160.000","63.000","0.700","15.800","0.840","999.600","","1.000","-99.000","-99.000","-99.000","19.600","","15.700",""
"C0F9Q0","2020-04-02 00:00:00","149.000","0.000","0.100","16.700","0.820","998.900","","0.000","-99.000","-99.000","-99.000","22.800","","16.400",""
"C0F9X0","2020-04-02 00:00:00","166.000","18.000","3.500","16.100","0.870","1002.100","","0.000","-99.000","-99.000","-99.000","21.500","","15.900",""
"C0F0D0","2020-04-02 00:00:00","3171.000","157.000","1.500","6.600","1.000","700.000","","0.500","-99.000","-99.000","-99.000","12.200","","4.600",""
